model_id,task_id,base_model,dataset_id
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task280,280,,Lots-of-LoRAs/task280_stereoset_classification_stereotype_type
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task190,190,,Lots-of-LoRAs/task190_snli_classification
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task391,391,,Lots-of-LoRAs/task391_causal_relationship
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task290,290,,Lots-of-LoRAs/task290_tellmewhy_question_answerability
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1391,1391,,Lots-of-LoRAs/task1391_winogrande_easy_answer_generation
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1342,1342,,Lots-of-LoRAs/task1342_amazon_us_reviews_title
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task442,442,,Lots-of-LoRAs/task442_com_qa_paraphrase_question_generation
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task620,620,,Lots-of-LoRAs/task620_ohsumed_medical_subject_headings_answer_generation
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1598,1598,,Lots-of-LoRAs/task1598_nyc_long_text_generation
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task039,039,,Lots-of-LoRAs/task039_qasc_find_overlapping_words
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task769,769,,Lots-of-LoRAs/task769_qed_summarization
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1448,1448,,Lots-of-LoRAs/task1448_disease_entity_extraction_ncbi_dataset
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task247,247,,Lots-of-LoRAs/task247_dream_answer_generation
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task513,513,,Lots-of-LoRAs/task513_argument_stance_classification
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task875,875,,Lots-of-LoRAs/task875_emotion_classification
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task515,515,,Lots-of-LoRAs/task515_senteval_odd_word_out
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task627,627,,Lots-of-LoRAs/task627_xlwic_word_with_same_meaning_sentence_generation
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1534,1534,,Lots-of-LoRAs/task1534_daily_dialog_question_classification
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1551,1551,,Lots-of-LoRAs/task1551_every_ith_element_from_kth_element
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task583,583,,Lots-of-LoRAs/task583_udeps_eng_coarse_pos_tagging
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1431,1431,,Lots-of-LoRAs/task1431_head_qa_answer_generation
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task270,270,,Lots-of-LoRAs/task270_csrg_counterfactual_context_generation
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1487,1487,,Lots-of-LoRAs/task1487_organism_substance_extraction_anem_dataset
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task679,679,,Lots-of-LoRAs/task679_hope_edi_english_text_classification
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task456,456,,Lots-of-LoRAs/task456_matres_intention_classification
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task385,385,,Lots-of-LoRAs/task385_socialiqa_incorrect_answer_generation
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1607,1607,,Lots-of-LoRAs/task1607_ethos_text_classification
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task278,278,,Lots-of-LoRAs/task278_stereoset_sentence_generation_antistereotype
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task022,022,,Lots-of-LoRAs/task022_cosmosqa_passage_inappropriate_binary
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task210,210,,Lots-of-LoRAs/task210_logic2text_structured_text_generation
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task137,137,,Lots-of-LoRAs/task137_detoxifying-lms_classification_toxicity
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task574,574,,Lots-of-LoRAs/task574_air_dialogue_sentence_generation
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task629,629,,Lots-of-LoRAs/task629_dbpedia_14_classification
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1378,1378,,Lots-of-LoRAs/task1378_quarel_correct_answer_generation
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1194,1194,,Lots-of-LoRAs/task1194_kth_largest_element
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1529,1529,,Lots-of-LoRAs/task1529_scitail1.1_classification
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task453,453,,Lots-of-LoRAs/task453_swag_answer_generation
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task102,102,,Lots-of-LoRAs/task102_commongen_sentence_generation
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task460,460,,Lots-of-LoRAs/task460_qasper_answer_generation
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1204,1204,,Lots-of-LoRAs/task1204_atomic_classification_hinderedby
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1384,1384,,Lots-of-LoRAs/task1384_deal_or_no_dialog_classification
